id,text,target,target_sentiment,companies_sentiment,consumers_sentiment,len,sentimient,sentimient_probas,emotion,emotion_prob,hateful,targeted,aggressive
69737,Renfe afronta mañana un nuevo día de paros parciales de los maquinistas,Renfe,negative,negative,negative,71,NEG,0.8597460985183716,others,0.9798616170883179,0.02343820221722126,0.005638041999191046,0.013960415497422218
71795,Presupuesto populista con cimientos frágiles,Presupuesto populista,negative,negative,negative,44,NEG,0.8844550848007202,others,0.9463004469871521,0.11257168650627136,0.008995722979307175,0.04195284843444824
77984,Biden no cree que la OPEP+ vaya a ayudar con los precios del petróleo,OPEP+,negative,negative,negative,69,NEG,0.7883431911468506,others,0.9911688566207886,0.028454655781388283,0.005844405852258205,0.00969599187374115
82648,La deuda de las familias cae en 25.000 millones en 2015 y marca niveles previos a la crisis,deuda de las familias,positive,positive,positive,91,NEG,0.7661845684051514,others,0.8657533526420593,0.016037626191973686,0.006127518601715565,0.00894945953041315
97337,"Bestinver: no hay ""momento más inoportuno"" para el Brexit",Bestinver,negative,negative,negative,57,NEG,0.7837397456169128,others,0.9905283451080322,0.015042268671095371,0.005276113748550415,0.008356166072189808
118683,El número de desempleados aumenta en 932 personas en octubre,desempleados,negative,negative,negative,60,NEG,0.5062095522880554,others,0.9470717906951904,0.021474694833159447,0.005451306700706482,0.008008780889213085
128066,La sombra de Donald Trump se cierne sobre la economía mexicana,Donald Trump,negative,negative,negative,62,NEG,0.7374539971351624,others,0.9291135668754578,0.03412172943353653,0.010785636492073536,0.018092304468154907
134608,Grecia pide 3.000 millones al Banco Mundial para crear 300.000 empleos,Grecia,negative,negative,positive,70,NEU,0.572288453578949,others,0.9704736471176147,0.022239644080400467,0.004648029804229736,0.009870190173387527
161520,Pensiones en España: tenemos un problema,Pensiones,negative,negative,negative,40,NEG,0.8936730623245239,others,0.9368644952774048,0.04970351606607437,0.004248504526913166,0.018257131800055504
161813,"Trump: ""La paciencia estratégica con Pyongyang se ha acabado""",Pyongyang,negative,negative,negative,61,NEG,0.8609686493873596,others,0.9912317395210266,0.019241411238908768,0.006903739646077156,0.009929928928613663
162547,Berenberg reincide en su pesimismo sobre la banca española,Berenberg,negative,negative,negative,58,NEG,0.9199720621109009,others,0.9935010075569153,0.016929667443037033,0.00734045309945941,0.012387797236442566
173981,España pierde su segundo arbitraje internacional por el recorte de las primas a las renovables,España,negative,negative,negative,94,NEG,0.8679561018943787,others,0.9853979349136353,0.02212570235133171,0.0043673450127244,0.010541592724621296
220615,Tercer mes a la baja en el Ibex-35,Ibex-35,negative,negative,negative,34,NEG,0.8646975159645081,others,0.951008677482605,0.016638094559311867,0.007349718362092972,0.009418162517249584
224630,"Se duplican los accidentes laborales mortales en Euskadi, con once fallecidos hasta marzo",accidentes laborales mortales,negative,negative,negative,89,NEG,0.7725005149841309,others,0.9088754057884216,0.014342711307108402,0.004338775761425495,0.008778199553489685
227192,España se mantiene como el segundo país de la eurozona con mayor tasa de paro,España,negative,negative,negative,77,NEU,0.5819345712661743,others,0.9898227453231812,0.02306853048503399,0.006558769848197699,0.012556076981127262
245519,Los carburantes repuntan a nuevos máximos y acumulan un encarecimiento de hasta el 15%,carburantes,negative,negative,negative,86,NEU,0.6751310229301453,others,0.9082099199295044,0.019309837371110916,0.005563884973526001,0.011914179660379887
250324,Maroto prevé «meses duros» pero confía en recuperar el turismo antes del verano,Maroto,negative,negative,negative,79,NEU,0.4587773084640503,others,0.9414908289909363,0.011948521248996258,0.005309013649821281,0.008886780589818954
251652,La mitad de los españoles reducirá sus gastos esta Navidad,mitad de los españoles,positive,negative,negative,58,NEU,0.6200990080833435,others,0.9777907729148865,0.0412006601691246,0.0049727074801921844,0.01434965617954731
252608,Una de cada diez empresas cerrará y la mitad entrará en pérdidas,Una de cada diez empresas,negative,negative,negative,64,NEG,0.733690619468689,others,0.9731646180152893,0.05704545974731445,0.006392756476998329,0.01891426183283329
257648,La fortaleza del euro entorpece la recuperación del Viejo Continente,fortaleza del euro,positive,negative,negative,68,NEG,0.9292125105857849,others,0.7384138703346252,0.03846859186887741,0.006797821260988712,0.012818076647818089
269177,La UE devuelve a Panamá a su lista negra de paraísos fiscales,Panamá,negative,negative,negative,61,NEG,0.7253011465072632,others,0.9864637851715088,0.15377384424209595,0.004489143379032612,0.03854788839817047
275690,Bruselas denunciará a España ante el TUE si no aplica las normas europeas sobre fondos de inversión,España,negative,negative,negative,99,NEG,0.7055429816246033,others,0.9722593426704407,0.016441743820905685,0.004473991692066193,0.010842801071703434
282747,"El Ibex-35 pierde un 0,29% en la sesión y gana un 0,14% en octubre",Ibex-35,negative,negative,negative,66,NEU,0.5106486678123474,others,0.9707293510437012,0.016910957172513008,0.009527978487312794,0.010461999103426933
292024,"El Ibex-35 se marea con el BCE, la investidura fallida y los resultados y pierde los 9.300 puntos",Ibex-35,negative,negative,negative,97,NEG,0.9570580720901489,others,0.8764696717262268,0.02492491714656353,0.01019537914544344,0.018841851502656937
297814,"El IBEX (-0,9%) transita en rojo por un miércoles santo que deja pérdidas en resto de Bolsas europeas",IBEX,negative,negative,negative,101,NEG,0.8725659251213074,others,0.9543982744216919,0.018194854259490967,0.006517103407531977,0.010651536285877228
310178,La bajada de los alimentos deja la subida de precios de enero en el 1%,bajada de los alimentos,negative,negative,negative,70,NEG,0.8861218690872192,others,0.9379556179046631,0.020394369959831238,0.005820839665830135,0.009829814545810223
