id,text,target,target_sentiment,companies_sentiment,consumers_sentiment,len,tag,sentimient,sentimient_probas,emotion,emotion_prob,hateful,targeted,aggressive
3735,La actividad empresarial de la zona euro se contrajo en octubre por el empeoramiento de la epidemia,actividad empresarial,negative,negative,negative,99,test,NEG,0.8717785477638245,others,0.8579714298248291,0.02091190032660961,0.007537792902439833,0.009757408872246742
8216,La segunda ola del coronavirus desploma un 82% el tráfico de los aeropuertos en España,coronavirus,negative,negative,negative,86,test,NEG,0.8246829509735107,others,0.8620227575302124,0.028491513803601265,0.004538470413535833,0.010395694524049759
13684,Xavier Labandeira: “España es uno de los países más vulnerables al cambio climático”,cambio climático,negative,negative,negative,84,test,NEG,0.8028702735900879,others,0.9880329370498657,0.013946658000349998,0.0040237982757389545,0.008410368114709854
20622,"El bono americano ya deja pérdidas del 2,4% en el año",bono americano,negative,negative,negative,53,test,NEG,0.8322384357452393,others,0.9529057145118713,0.04586102440953255,0.006752034183591604,0.015672672539949417
23052,Crece el temor ante una burbuja tecnológica y los hedge funds se hacen fuertes en plena pandemia,burbuja tecnológica,negative,neutral,neutral,96,test,NEG,0.9482691287994385,fear,0.614226222038269,0.0847187265753746,0.004192035645246506,0.0275119636207819
23567,"El fondo de recuperación de la UE 'va demasiado lento', según el ministro de economía francés",fondo de recuperación,positive,negative,negative,93,test,NEG,0.8338857293128967,others,0.9881491661071777,0.011672429740428925,0.0054836757481098175,0.007916971109807491
23683,"España, a la cola en la concesión de ayudas públicas en Europa: destina solo el 0,4% del PIB",España,negative,negative,negative,92,test,NEG,0.8488442301750183,others,0.9683687686920166,0.029412560164928436,0.004438946023583412,0.014249124564230442
32333,"Richi Arambarri (Vintae): ""La empresa no está para que vivamos mejor""",empresa,positive,negative,negative,69,test,NEG,0.900319516658783,others,0.9817019701004028,0.018937628716230392,0.005655055865645409,0.010023180395364761
41180,Catarata de subidas de impuestos y nuevas tasas para este año y 2022,subidas de impuestos,positive,negative,negative,68,test,NEU,0.5818755030632019,others,0.8741909861564636,0.048929568380117416,0.003907463513314724,0.013611466623842716
45071,El Gobierno encarecerá el recibo de la luz por la interconexión con Marruecos,Gobierno,positive,negative,negative,77,test,NEU,0.5214168429374695,others,0.9794149994850159,0.02453080751001835,0.005007658153772354,0.012150878086686134
50247,Las empresas ya trasladan a los precios la presión de las materias primas y la energía,empresas,positive,positive,negative,86,test,NEU,0.7802183628082275,others,0.9922383427619934,0.026876375079154968,0.0045190779492259026,0.01048676110804081
53892,Alemania podría incluir a toda España en la zona de riesgo por Covid,Alemania,negative,negative,negative,68,test,NEU,0.7583568692207336,others,0.9920869469642639,0.03279872238636017,0.006328019313514233,0.012551555410027504
60482,El potencial reemplazo de Powell afectará a la renta fija y entorpecerá el tapering,Powell,negative,negative,negative,83,test,NEG,0.767363965511322,others,0.8830679059028625,0.016049638390541077,0.006945347413420677,0.010126466862857342
64035,La “prosperidad común” de Xi es una caja negra financiera,prosperidad común,positive,neutral,neutral,57,test,NEG,0.9276909232139587,others,0.9774861335754395,0.07263466715812683,0.014127965085208416,0.026857532560825348
67465,Calviño aboga por retrasar la reforma fiscal hasta la recuperación,Calviño,positive,neutral,negative,66,test,NEG,0.7155804634094238,others,0.9915211200714111,0.011822186410427094,0.007097459863871336,0.007761248853057623
67817,Los economistas ultiman rebajar del 6% su previsión de crecimiento para 2021 tras la revisión a la baja del INE,crecimiento,positive,negative,negative,111,test,NEG,0.5802754759788513,others,0.983201801776886,0.010730509646236897,0.006382279098033905,0.007585518062114716
68903,La voracidad de China con el carbón impulsará aún más los precios de la energía,China,positive,negative,negative,79,test,NEG,0.8810098767280579,others,0.7127297520637512,0.0772755891084671,0.007160710170865059,0.02443769946694374
12794,El Covid-19 recorta en 2.150 millones el beneficio de las cotizadas catalanas,Covid-19,negative,negative,neutral,77,test,NEG,0.7457801103591919,others,0.9761281609535217,0.021831030026078224,0.005481223575770855,0.011471813544631004
