"id","text","target","target_sentiment","companies_sentiment","consumers_sentiment"
"69737","Renfe afronta mañana un nuevo día de paros parciales de los maquinistas","Renfe","negative","negative","negative"
"71795","Presupuesto populista con cimientos frágiles","Presupuesto populista","negative","negative","negative"
"77984","Biden no cree que la OPEP+ vaya a ayudar con los precios del petróleo","OPEP+","negative","negative","negative"
"82648","La deuda de las familias cae en 25.000 millones en 2015 y marca niveles previos a la crisis","deuda de las familias","positive","positive","positive"
"97337","Bestinver: no hay ""momento más inoportuno"" para el Brexit","Bestinver","negative","negative","negative"
"118683","El número de desempleados aumenta en 932 personas en octubre","desempleados","negative","negative","negative"
"128066","La sombra de Donald Trump se cierne sobre la economía mexicana","Donald Trump","negative","negative","negative"
"134608","Grecia pide 3.000 millones al Banco Mundial para crear 300.000 empleos","Grecia","negative","negative","positive"
"161520","Pensiones en España: tenemos un problema","Pensiones","negative","negative","negative"
"161813","Trump: ""La paciencia estratégica con Pyongyang se ha acabado""","Pyongyang","negative","negative","negative"
"162547","Berenberg reincide en su pesimismo sobre la banca española","Berenberg","negative","negative","negative"
"173981","España pierde su segundo arbitraje internacional por el recorte de las primas a las renovables","España","negative","negative","negative"
"220615","Tercer mes a la baja en el Ibex-35","Ibex-35","negative","negative","negative"
"224630","Se duplican los accidentes laborales mortales en Euskadi, con once fallecidos hasta marzo","accidentes laborales mortales","negative","negative","negative"
"227192","España se mantiene como el segundo país de la eurozona con mayor tasa de paro","España","negative","negative","negative"
"245519","Los carburantes repuntan a nuevos máximos y acumulan un encarecimiento de hasta el 15%","carburantes","negative","negative","negative"
"250324","Maroto prevé «meses duros» pero confía en recuperar el turismo antes del verano","Maroto","negative","negative","negative"
"251652","La mitad de los españoles reducirá sus gastos esta Navidad","mitad de los españoles","positive","negative","negative"
"252608","Una de cada diez empresas cerrará y la mitad entrará en pérdidas","Una de cada diez empresas","negative","negative","negative"
"257648","La fortaleza del euro entorpece la recuperación del Viejo Continente","fortaleza del euro","positive","negative","negative"
"269177","La UE devuelve a Panamá a su lista negra de paraísos fiscales","Panamá","negative","negative","negative"
"275690","Bruselas denunciará a España ante el TUE si no aplica las normas europeas sobre fondos de inversión","España","negative","negative","negative"
"282747","El Ibex-35 pierde un 0,29% en la sesión y gana un 0,14% en octubre","Ibex-35","negative","negative","negative"
"292024","El Ibex-35 se marea con el BCE, la investidura fallida y los resultados y pierde los 9.300 puntos","Ibex-35","negative","negative","negative"
"297814","El IBEX (-0,9%) transita en rojo por un miércoles santo que deja pérdidas en resto de Bolsas europeas","IBEX","negative","negative","negative"
"310178","La bajada de los alimentos deja la subida de precios de enero en el 1%","bajada de los alimentos","negative","negative","negative"
"310840","El déficit público en la eurozona sube al 0,5% en el tercer trimestre","déficit público","negative","negative","negative"
"312966","Las empresas aportan la mitad que hace 10 años a las cuentas del Estado","empresas","negative","negative","negative"
"319081","El Ibex-35 cae un 4,8% en agosto, cierra al filo de los 9.400 puntos, casi en mínimos anuales","Ibex-35","negative","negative","negative"
"323918","La inflación de China se mantiene en el 1,8% en mayo","inflación de China","positive","negative","negative"
"324263","Con las cuotas a vueltas","cuotas","negative","negative","negative"
"349600","El vaivén de Donald Trump con los aranceles de China sacude todas las bolsas mundiales","vaivén de Donald Trump","negative","negative","negative"
